Date,Canal,Category,SubCategory1,SubCategory2,Subcategory3,Marca,Modelo,SKU,UPC,Item,ItemCharacteristics,URLSKU,Image,Price,SalePrice,Shipment Cost,Sales Flag,Store ID,Store Name,Store Address,Stock,UPC WM,FinalPrice,Brand
,,Limpieza,Hogar,Aromatizantes,,,,7509546063461,,Antitranspirante en Aerosol Lady Speed Stick Cool Aqua 91g,,,https://farmaciatepa.com.mx/FT/img/products/7509546063461_01.webp,50,58,,,,,,7,,,LADY SPEED STICK
,,Limpieza,Hogar,Aromatizantes,,,,7509546067919,,Antitranspirante en Aerosol Lady Speed Stick Derma + Vitamina E Aerosol de 91g,,,https://farmaciatepa.com.mx/FT/img/products/FOTOS_ARITCULOS_2024_3/7509546067919_01.webp,52.84,61.29,,,,,,5,,,LADY SPEED STICK
,,Limpieza,Hogar,Aromatizantes,,,,7509546067902,,Antitranspirante en Aerosol Lady Speed Stick Derma+Renueva Omega 3 91g,,,https://farmaciatepa.com.mx/FT/img/products/7509546067902_01.webp,52.84,61.29,,,,,,10,,,LADY SPEED STICK
,,Limpieza,Hogar,Aromatizantes,,,,7509546067940,,Antitranspirante en Barra Lady Speed Stick Derma + Renueva Omega 3 45g,,,https://farmaciatepa.com.mx/FT/img/products/7509546067940_01.webp,49.83,57.8,,,,,,0,,,LADY SPEED STICK
,,Limpieza,Hogar,Aromatizantes,,,,7591005994638,,Aromatizante Ambiental Glade Toque Campos de Lavanda 3 Repuestos de 9g,,,https://farmaciatepa.com.mx/FT/img/products/7591005994638_01.webp,85.6,99.3,,,,,,9,,,GLADE
,,Limpieza,Hogar,Aromatizantes,,,,7501032913687,,Aromatizante en Aerosol Glade Abrazos de Vainilla 400ml.,,,https://farmaciatepa.com.mx/FT/img/products/7501032913687_01.webp,52.16,60.51,,,,,,11,,,GLADE
,,Limpieza,Hogar,Jarciería,,,,7501213245507,,Baby Avant Cepillo de Esponja,,,https://farmaciatepa.com.mx/FT/img/products/7501213245507_01.webp,23.28,27,,,,,,0,,,AVANT
,,Limpieza,Hogar,Jarciería,,,,7502229333240,,Clipper Fibra Metalica Extra Grande,,,https://farmaciatepa.com.mx/FT/img/products/7502229333240_01.webp,14.83,17.2,,,,,,18,,,CLIPPER
,,Limpieza,Hogar,Aromatizantes,,,,7509546077260,,Desodorante en Aerosol Stefano Cosmo 159ml,,,https://farmaciatepa.com.mx/FT/img/products/7509546077260_01.webp,50.86,59,,,,,,23,,,STEFANO
,,Limpieza,Hogar,Aromatizantes,,,,0658921854730,,Desodorante Orgánico de Lavanda Corporal 50grs,,,https://farmaciatepa.com.mx/FT/img/products/0658921854730_01.webp,86.12,99.9,,,,,,9,,,XALLIPAN
,,Limpieza,Hogar,Aromatizantes,,,,7509546077284,,Desodorante Stefano Aerosol Gladius 159 ml.,,,https://farmaciatepa.com.mx/FT/img/products/7509546077284_01.webp,50.86,59,,,,,,14,,,STEFANO
,,Limpieza,Hogar,Cuidado del Calzado,,,,718644080714,,EL OSO CREMA FINA 170G CAFE,,,https://farmaciatepa.com.mx/FT/img/products/718644080714_01.webp,25.26,29.3,,,,,,13,,,EL OSO
,,Limpieza,Hogar,Cuidado del Calzado,,,,718644080851,,EL OSO GRASA 90G NEGRO,,,https://farmaciatepa.com.mx/FT/img/products/718644080851_01.webp,34.74,40.3,,,,,,13,,,EL OSO
,,Limpieza,Hogar,Jarciería,,,,7891040118649,,Esponja de Baño Ponjita Kids Animales 1 pz,,,https://farmaciatepa.com.mx/FT/img/products/7891040118649_01.webp,35.95,41.7,,,,,,7,,,SCOTCH BRITE
,,Limpieza,Hogar,Jarciería,,,,7891040109876,,Esponja de Baño Ponjita Kids Monstruos 1 pz,,,https://farmaciatepa.com.mx/FT/img/products/7891040109876_01.webp,35.95,41.7,,,,,,12,,,SCOTCH BRITE
,,Limpieza,Hogar,Jarciería,,,,7501310010619,,FALTA INFO,,,,19.48,22.6,,,,,,21,,,FALTA INFO
,,Limpieza,Hogar,Jarciería,,,,7501023114932,,Fibra 3M Scotch Brite Mi Fibra Esponja Mediana.,,,,10.43,12.1,,,,,,55,,,3M
,,Limpieza,Hogar,Jarciería,,,,7501023114956,,Fibra 3M Scotch Brite Verde Gigante.,,,https://farmaciatepa.com.mx/FT/img/products/7501023114956_01.webp,13.19,15.3,,,,,,12,,,3M
,,Limpieza,Hogar,Jarciería,,,,7502229334032,,Fibra Clipper Verde Chica.,,,https://farmaciatepa.com.mx/FT/img/products/7502229334032_01.webp,6.47,7.51,,,,,,34,,,CLIPPER
,,Limpieza,Hogar,Jarciería,,,,7502229334018,,Fibra Clipper Verde Grande.,,,https://farmaciatepa.com.mx/FT/img/products/7502229334018_01.webp,19.31,22.4,,,,,,21,,,CLIPPER
,,Limpieza,Hogar,Jarciería,,,,7502229334025,,Fibra Clipper Verde Mediana.,,,https://farmaciatepa.com.mx/FT/img/products/7502229334025_01.webp,9.66,11.21,,,,,,35,,,CLIPPER
,,Limpieza,Hogar,Jarciería,,,,7502246420039,,Fibra Esponja Ara No Raya.,,,https://farmaciatepa.com.mx/FT/img/products/7502246420039_01.webp,11.12,12.9,,,,,,57,,,ARA
,,Limpieza,Hogar,Jarciería,,,,7502246423016,,Fibra Esponja Ara.,,,https://farmaciatepa.com.mx/FT/img/products/7502246423016_01.webp,10.17,11.8,,,,,,67,,,ARA
,,Limpieza,Hogar,Jarciería,,,,7502229334049,,Fibra Esponja Clipper Chica.,,,https://farmaciatepa.com.mx/FT/img/products/7502229334049_01.webp,10,11.6,,,,,,30,,,CLIPPER
,,Limpieza,Hogar,Jarciería,,,,7502229334056,,Fibra Esponja Clipper Grande.,,,https://farmaciatepa.com.mx/FT/img/products/7502229334056_01.webp,16.38,19,,,,,,0,,,CLIPPER
