name,price,url
Vagilac Lactobacilos + Prebioticos Capsula,"$ 120.400,$ 96.300,Capsula a $4.264,29",https://www.drogueriascolsubsidio.com/vagilac-lactobacilos--prebioticos-1350mg-capsula-7707350411052/p
Anemidox Cápsula,"$ 120.400,Capsula a $4.013,33",https://www.drogueriascolsubsidio.com/anemidox-capsula-7500435248730/p
Escitalopram 10 Mg Tableta Recubierta,"$ 41.550,$ 33.240,Tableta a $1.483,93",https://www.drogueriascolsubsidio.com/escitalopram-10-mg-tableta-recubierta-7702635566915/p
Hcqs 200mg Tableta Recubierta,"$ 173.750,$ 62.550,Tableta a $5.791,67",https://www.drogueriascolsubsidio.com/hcqs-200mg-tableta-recubierta-8901079006103/p
Metoject 15 Mg/0.3 Ml Solución Inyectable,"$ 65.250,$ 52.200,Unidad a $65.250,00",https://www.drogueriascolsubsidio.com/metoject-15-mg03-ml-solucion-inyectable-7707293750171/p
Omega 3 Fish Oil 1200 Mg Softgels,"$ 63.500,$ 53.975,Capsula a $635,00",https://www.drogueriascolsubsidio.com/omega-3-fish-oil-1200-mg-softgels-751273765119/p
Gaviscon Doble Acción Sachet Sabor Menta,"$ 39.650,Unidad a $3.304,17",https://www.drogueriascolsubsidio.com/gaviscon-doble-accion-sachet-sabor-menta-7702626211770/p
Enterogermina Suspensión Oral,"$ 84.200,$ 67.360,Unidad a $8.420,00",https://www.drogueriascolsubsidio.com/enterogermina-suspension-oral-3582910009900/p
Propafen 150 Mg Tableta Recubierta,"$ 63.850,$ 51.080,Tableta a $2.056,67",https://www.drogueriascolsubsidio.com/propafen-150-mg-tableta-recubierta-7707182840853/p
Electrolit Solución Oral Fresa-Kiwi,"$ 8.650,Mililitro a $13,84",https://www.drogueriascolsubsidio.com/electrolit-solucion-oral-fresa-kiwi-7501125176531/p
Enterogermina Plus Suspensión Oral,"$ 88.000,Mililitro a $17.600,00",https://www.drogueriascolsubsidio.com/enterogermina-plus-suspension-oral-7702771001561/p
Vagilac Lactobacilos + Prebioticos Capsula,"$ 68.550,$ 54.800,Capsula a $4.796,43",https://www.drogueriascolsubsidio.com/vagilac-lactobacilos--prebioticos-capsula-7707350411069/p
