category,name,original_price,discounted_price,PUM,url
Mamás y bebés,Gestavit Dha Multivitaminico Cápsula Blanda Con Cubierta Enterica,$ 90.600,,"$3.020,00",https://www.drogueriascolsubsidio.com/gestavit-dha-multivitaminico-capsula-blanda-con-cubierta-enterica-7703153022693/p
Mamás y bebés,Pañitos Humedos Pequeñin Manzanilla x 80 Und,$ 5.600,,"$70,00",https://www.drogueriascolsubsidio.com/panitos-humedos-pequenin-manzanilla-x-80-und-7702026152536/p
Mamás y bebés,Pañal Winny Sec Etapa 4,$ 73.000,,"$1.460,00",https://www.drogueriascolsubsidio.com/panal-winny-sec-etapa-4-7701021147585/p
Mamás y bebés,Pañal Winny Pants Etapa 6 Bolsa X30,$ 53.500,,"$53.500,00",https://www.drogueriascolsubsidio.com/panal-winny-pants-etapa-6-bolsa-x30-7701021118868/p
Mamás y bebés,Pañal Winny Pants Etapa 5,$ 50.750,,"$1.691,67",https://www.drogueriascolsubsidio.com/panal-winny-pants-etapa-5-7701021116666/p
Mamás y bebés,Pañal Winny Sec Etapa 5,$ 50.750,,"$1.691,67",https://www.drogueriascolsubsidio.com/panal-winny-sec-etapa-5-7701021114174/p
Mamás y bebés,Pañitos Húmedos Pequeñín Almendra x 100 Un,$ 12.500,,"$125,00",https://www.drogueriascolsubsidio.com/panitos-humedos-pequenin-almendra-x-100-un-7702026147631/p
Mamás y bebés,ALMIPRO 25% UNGÜENTO,$ 64.500,,"$129,00",https://www.drogueriascolsubsidio.com/almipro-25-ungento-7701684000135/p
Mamás y bebés,Toal Humeda Winny Aloe Vera x 100 Un,$ 13.500,,"$135,00",https://www.drogueriascolsubsidio.com/toal-humeda-winny-aloe-vera-x-100-un-7701021145949/p
Mamás y bebés,Alimento Lacteo Enfagrow Premium Promental Natural Etapa 3,$ 279.100,,"$126,86",https://www.drogueriascolsubsidio.com/formula-infantil-enfagrow-premium-promental-etapa-3-7506205810800/p
Mamás y bebés,Pañal Winny Sec Etapa 3 X50 + Toallitas X10 Aloe Vera,$ 62.150,,"$1.243,00",https://www.drogueriascolsubsidio.com/panal-winny-sec-etapa-3-x50--toallitas-x10-aloe-vera-7701021111845/p
Mamás y bebés,Toallitas Húmedas Arrurru Practicorte x 100 Unidades,$ 11.050,$ 8.840,"$110,50",https://www.drogueriascolsubsidio.com/toallitas-humedas-arrurru-practicorte-x-100-unidades-7702277395256/p
Higiene y Cuidado,Crema Lubriderm Reparación Intensiva,$ 76.500,$ 65.025,"$80,87",https://www.drogueriascolsubsidio.com/crema-lubriderm-reparacion-intensiva-7501007528434/p
Higiene y Cuidado,Crema Dental Colgate Triple Acción,$ 20.450,$ 15.337,"$90,89",https://www.drogueriascolsubsidio.com/crema-dental-colgate-triple-accion-7753442351034/p
Higiene y Cuidado,Serum Nivea Luminous Even Glow Fco X30ml,$ 56.450,$ 35.563,"$1.881,67",https://www.drogueriascolsubsidio.com/serum-nivea-luminous-even-glow-fco-x30ml-4006000181912/p
Higiene y Cuidado,Desodorante Antitranspirante Unisex Pili,$ 20.150,,"$161,20",https://www.drogueriascolsubsidio.com/desodorante-antitranspirante-unisex-pili-7701684000258/p
Higiene y Cuidado,Crema Lactovit Reparadora X 1 Litro,$ 55.350,,"$55,35",https://www.drogueriascolsubsidio.com/crema-lactovit-reparadora-x-1-litro-8411135654792/p
Higiene y Cuidado,Jabón Liquido Corporal Palmolive Cereza Y Coco 390 ml,$ 20.000,$ 14.000,"$51,28",https://www.drogueriascolsubsidio.com/jabon-liquido-corporal-palmolive-cereza-y-coco-390-ml-7509546078885/p
Higiene y Cuidado,Lipiel Fem,$ 89.050,,"$296,83",https://www.drogueriascolsubsidio.com/lipiel-fem-7707206270314/p
Higiene y Cuidado,Toalla Higiénica Extraprotección Tela X24unidades,$ 13.750,,"$572,92",https://www.drogueriascolsubsidio.com/toalla-higienica-extraproteccion-tela-x24unidades-7702027429293/p
Higiene y Cuidado,Pañal Content Medical M Bol X 21und,$ 53.250,,"$2.535,71",https://www.drogueriascolsubsidio.com/panal-content-medical-m-bol-x-21und-7701021120649/p
Higiene y Cuidado,Pañal Content Medical L Bol x 21und,$ 61.000,,"$2.904,76",https://www.drogueriascolsubsidio.com/panal-content-medical-l-bol-x-21und-7701021120663/p
Higiene y Cuidado,Dalic Fem Barra Intima GAD,$ 43.900,,"$439,00",https://www.drogueriascolsubsidio.com/dalic-fem-barra-intima-gad-7709990261264/p
Higiene y Cuidado,Cepillo Dental Colgate Zig Zag Carbón3,$ 19.450,$ 14.587,"$6.483,33",https://www.drogueriascolsubsidio.com/cepillo-dental-colgate-zig-zag-carbon3-8718951179912/p
Belleza y Vitalidad,Atopeel Body Crema Corporal Emoliente Heel,$ 110.400,,"$552,00",https://www.drogueriascolsubsidio.com/atopeel-body-crema-corporal-emoliente-heel-7707336727283/p
Belleza y Vitalidad,isdin reparador labial con acido hialuronico,$ 39.600,,"$3.960,00",https://www.drogueriascolsubsidio.com/isdin-reparador-labial-con-acido-hialuronico-8470001507983/p
Belleza y Vitalidad,Isdin Protector Labial Spf50+,$ 34.800,,"$8.700,00",https://www.drogueriascolsubsidio.com/isdin-protector-labial-spf50-8429420268302/p
Belleza y Vitalidad,Isdin Fotoprotector Compact Spf50+ Arena,$ 129.050,,"$12.905,00",https://www.drogueriascolsubsidio.com/isdin-fotoprotector-compact-spf50-arena-8470001716125/p
Belleza y Vitalidad,Laca Fortalecedora Isdin Si-Nails Varnish,$ 110.150,,"$44.060,00",https://www.drogueriascolsubsidio.com/laca-fortalecedora-isdin-si-nails-varnish-8470001915528/p
Belleza y Vitalidad,Sunaid Polvo Compacto Piel Clara,$ 153.350,,"$12.779,17",https://www.drogueriascolsubsidio.com/sunaid-polvo-compacto-piel-clara-7707206270154/p
