name,price,url
2.5kg Bulk 41% Milk Hot Chocolate Drops,62.5,https://www.chocolate.co.uk/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,62.5,https://www.chocolate.co.uk/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,10.9375,https://www.chocolate.co.uk/products/41-colombian-milk-hot-chocolate-drops
500g Foil Wrapped Praline Milk Chocolate Mini Eggs,12.5,https://www.chocolate.co.uk/products/pre-order-ecuadorian-foil-wrapped-solid-chocolate-mini-eggs
61% Dark Hot Chocolate Drops,10.9375,https://www.chocolate.co.uk/products/62-dark-hot-chocolate
Almost Perfect,2.8125,https://www.chocolate.co.uk/products/almost-perfect
Assorted Chocolate Malt Balls,11.25,https://www.chocolate.co.uk/products/assorted-chocolate-malt-balls
Blonde Caramel,6.25,https://www.chocolate.co.uk/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb - Bag,10.625,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,11.25,https://www.chocolate.co.uk/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,24.987499999999997,https://www.chocolate.co.uk/products/blonde-chocolate-truffles
Bulk 41% Milk Hot Chocolate Drops 750 grams,21.875,https://www.chocolate.co.uk/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,21.875,https://www.chocolate.co.uk/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Almonds,7.8125,https://www.chocolate.co.uk/products/cocoa-dusted-almonds
Caramelised Milk,6.25,https://www.chocolate.co.uk/products/caramelised-milk-chocolate-bar
Chai Caramel Latte,6.25,https://www.chocolate.co.uk/products/chai-caramel-latte
Chocolate Caramelised Pecan Nuts,7.8125,https://www.chocolate.co.uk/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,68.75,https://www.chocolate.co.uk/products/celebration-hamper
Christmas Cracker,6.25,https://www.chocolate.co.uk/products/christmas-cracker-chocolate-bar
Cinnamon Toast,6.25,https://www.chocolate.co.uk/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,37.5,https://www.chocolate.co.uk/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,6.25,https://www.chocolate.co.uk/products/colombian-dark-chocolate-bar
Crunchy Biscuit,6.25,https://www.chocolate.co.uk/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,11.1875,https://www.chocolate.co.uk/products/dark-chocolate-ginger
Dark Chocolate Honeycomb - Bag,10.625,https://www.chocolate.co.uk/products/dark-chocolate-honeycomb
Dark Chocolate Honeycomb Egg & Honeycomb (Large),18.75,https://www.chocolate.co.uk/products/hokey-pokey-large-wicked-egg-honeycomb
Dark Chocolate Malt Balls,11.25,https://www.chocolate.co.uk/products/dark-chocolate-malt-balls
Dark Chocolate Orange Peel,12.5,https://www.chocolate.co.uk/products/dark-chocolate-orange-peel
Dark Chocolate Truffles,24.987499999999997,https://www.chocolate.co.uk/products/dark-chocolate-truffles
Ecudorian 41%,6.25,https://www.chocolate.co.uk/products/ecuadorian-41-milk-chocolate-bar
Flat White Coffee,6.25,https://www.chocolate.co.uk/products/flat-white-coffee
Flat White Coffee Easter Egg & Truffles,24.9375,https://www.chocolate.co.uk/products/flat-white-coffee-easter-egg-truffles
Gift Voucher,12.5,https://www.chocolate.co.uk/products/gift-voucher
Ginger Biscuit,6.25,https://www.chocolate.co.uk/products/ginger-biscuit-chocolate-bar
Hokey Pokey Blondie Egg & Honeycomb (Large),18.75,https://www.chocolate.co.uk/products/hokey-pokey-large-blondie-egg-honeycomb
Hokey Pokey Blondie Egg (Small),7.4375,https://www.chocolate.co.uk/products/hokey-pokey-small-blondie-egg
Hokey Pokey Milkey Egg (Small),7.4375,https://www.chocolate.co.uk/products/hokey-pokey-small-milkey-egg
Hokey Pokey Wicked Egg (Small),7.4375,https://www.chocolate.co.uk/products/hokey-pokey-small-wicked-egg
Honeycomb Crunch,6.25,https://www.chocolate.co.uk/products/honeycomb-crunch
Hot Chocolate Shaker,10.625,https://www.chocolate.co.uk/products/hot-chocolate-shaker-new
Luxury Hot Chocolate Hamper,68.75,https://www.chocolate.co.uk/products/luxury-hot-chocolate-hamper
Marc De Champagne Truffles,18.7375,https://www.chocolate.co.uk/products/marc-de-champagne-truffles
Marmalade,6.25,https://www.chocolate.co.uk/products/marmalade-orange-chocolate-bar
Milk Chocolate Honeycomb - Bag,10.625,https://www.chocolate.co.uk/products/milk-chocolate-honeycomb
Milk Chocolate Honeycomb Egg & Honeycomb (Large),18.75,https://www.chocolate.co.uk/products/hokey-pokey-large-milkey-egg-honeycomb
Milk Chocolate Malt Balls,11.25,https://www.chocolate.co.uk/products/milk-chocolate-malt-balls
Milk Chocolate Truffles,24.987499999999997,https://www.chocolate.co.uk/products/milk-chocolate-truffles
Orange Malt Balls,9.375,https://www.chocolate.co.uk/products/orange-malt-balls
Peppermint Malt Balls,11.25,https://www.chocolate.co.uk/products/peppermint-malt-balls
Peppermint Swirl,6.25,https://www.chocolate.co.uk/products/peppermint-swirl-chocolate-bar
Pistachio & Cranberry,6.25,https://www.chocolate.co.uk/products/pistachio-cranberry-chocolate-bar
Praline Quail Eggs,15.625,https://www.chocolate.co.uk/products/praline-quail-eggs
Pretzel Caramel,6.25,https://www.chocolate.co.uk/products/pretzel-caramel-chocolate-bar
Pretzel Caramel Easter Egg & Truffles,36.875,https://www.chocolate.co.uk/products/copy-of-flat-white-coffee-easter-egg-truffles
Raspberry Pavlova White Chocolate Easter Egg,36.875,https://www.chocolate.co.uk/products/raspberry-pavlova-white-chocolate-easter-egg
Salt Caramel Malt Balls,11.25,https://www.chocolate.co.uk/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,7.8125,https://www.chocolate.co.uk/products/salt-caramelised-hazelnuts
Salted Caramel,6.25,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,15.625,https://www.chocolate.co.uk/products/salted-caramel-florentines
Salted Caramel Quail Eggs,15.625,https://www.chocolate.co.uk/products/salted-caramel-quail-eggs
Salted Caramels Blonde Chocolate,24.9375,https://www.chocolate.co.uk/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,24.987499999999997,https://www.chocolate.co.uk/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,24.987499999999997,https://www.chocolate.co.uk/products/salt-caramels-milk-chocolate
Tea & Biscuit,6.25,https://www.chocolate.co.uk/products/tea-biscuit-chocolate-bar
Tea & Biscuit Blonde Chocolate Easter Egg,36.875,https://www.chocolate.co.uk/products/pre-order-tea-biscuit-easter-egg
The Artisan - Spotlight Box,43.75,https://www.chocolate.co.uk/products/spotlight-box-copy
The Explorer - Spotlight Box,25.0,https://www.chocolate.co.uk/products/spotlight-box-2
The Master Chocolatier - Spotlight Box,75.0,https://www.chocolate.co.uk/products/spotlight-box-3
Velvet White,6.25,https://www.chocolate.co.uk/products/velvet-white-chocolate-bar
