name,price,url
2.5kg Bulk 41% Milk Hot Chocolate Drops,£50.00,/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,£50.00,/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,£8.75,/products/41-colombian-milk-hot-chocolate-drops
500g Foil Wrapped Praline Milk Chocolate Mini Eggs,£20.00,/products/pre-order-ecuadorian-foil-wrapped-solid-chocolate-mini-eggs
61% Dark Hot Chocolate Drops,£8.75,/products/61-dark-hot-chocolate-drops
Assorted Chocolate Malt Balls,£9.00,/products/assorted-chocolate-malt-balls
Blonde Caramel,£5.00,/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb - Bag,£8.50,/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,£9.00,/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,£19.99,/products/blonde-chocolate-truffles
Bulk 41% Milk Hot Chocolate Drops 750 grams,£17.50,/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,£17.50,/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Almonds,"£6.25",/products/cocoa-dusted-almonds
Caramelised Milk,£5.00,/products/caramelised-milk-chocolate-bar
Chai Caramel Latte,£5.00,/products/chai-caramel-latte
Chocolate Caramelised Pecan Nuts,"£6.25",/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,£55.00,/products/celebration-hamper
Christmas Cracker,£5.00,/products/christmas-cracker-chocolate-bar
Cinnamon Toast,£5.00,/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,£30.00,/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,£5.00,/products/colombian-dark-chocolate-bar
Crunchy Biscuit,£5.00,/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,£8.95,/products/dark-chocolate-ginger
