brand,category,discounted_price,image_url,invima,list_price,name,presentacion,product_id,pum,sku,stock,subcat1,subcat2,subcat3,subcat4,url
N/A,Oncoestetica,,https://colsubsidio.vtexassets.com/arquivos/ids/198493/7708722000249.jpg?v=638581383302400000,NSOC18041-06CO,8650,CREMA DE MANOS Y CUERPO SIN PARABENOS,FRASCO X 120 ML,14185,"Mililitro a $72,08",14199,10000,Belleza,Cuidado de la Piel,Cuidado Corporal,,https://www.drogueriascolsubsidio.com/crema-de-manos-y-cuerpo-sin-parabenos-7708722000249/p
NATURALE WORLD SOLUTIONS SAS,Ortopedia y movilidad,,https://colsubsidio.vtexassets.com/arquivos/ids/201474/7703721148701.jpg?v=638677117179470000,,22750,Cinta De Kinesio Color Crema,UNIDAD,15034,"Unidad a $22.750,00",15056,10000,Línea deportiva,Soportes deportivos,,,https://www.drogueriascolsubsidio.com/cinta-de-kinesio-color-crema-7703721148701/p
NATURALE WORLD SOLUTIONS SAS,Ortopedia y movilidad,,https://colsubsidio.vtexassets.com/arquivos/ids/201456/7703721140163.jpg?v=638677080115130000,,100700,Sportiva Pesas Muneca/tobillo x5lbs,UNIDAD,15023,"Unidad a $100.700,00",15045,10000,Línea deportiva,Soportes deportivos,,,https://www.drogueriascolsubsidio.com/sportiva-pesas-munecatobillo-x5lbs-7703721140163/p
NATURALE WORLD SOLUTIONS SAS,Ortopedia y movilidad,,https://colsubsidio.vtexassets.com/arquivos/ids/201467/7703721147995-1.jpg?v=638677108975500000,,47300,Set Banda Sportiva Circulo Latex x5und,EMPAQUE X 5 UN,15031,"Unidad a $9.460,00",15053,10000,Línea deportiva,Soportes deportivos,,,https://www.drogueriascolsubsidio.com/set-banda-sportiva-circulo-latex-x5und-7703721147995/p
NATURALE WORLD SOLUTIONS SAS,Ortopedia y movilidad,,https://colsubsidio.vtexassets.com/arquivos/ids/201465/7703721142327-1.jpg?v=638677103333970000,,44650,Colchoneta Tour Ejercicio Varios,UNIDAD,15029,"Unidad a $44.650,00",15051,10000,Línea deportiva,Soportes deportivos,,,https://www.drogueriascolsubsidio.com/colchoneta-tour-ejercicio-varios-7703721142327/p
NATURALE WORLD SOLUTIONS SAS,Ortopedia y movilidad,,https://colsubsidio.vtexassets.com/arquivos/ids/201470/7703721148152.jpg?v=638677112385570000,,33300,Banda Elastica De Poder Roja 2080  x 4.5 x 13 mm  15 - 25 lbs,UNIDAD,15033,"Unidad a $33.300,00",15055,10000,Línea deportiva,Soportes deportivos,,,https://www.drogueriascolsubsidio.com/banda-elastica-de-poder-roja-2080--x-45-x-13-mm--15---25-lbs-7703721148152/p
NATURALE WORLD SOLUTIONS SAS,Ortopedia y movilidad,,https://colsubsidio.vtexassets.com/arquivos/ids/201463/7703721140842.jpg?v=638677101607370000,,51300,Pesa Redonda x5lbs Sportiva.,UNIDAD,15027,"Unidad a $51.300,00",15049,10000,Línea deportiva,Soportes deportivos,,,https://www.drogueriascolsubsidio.com/pesa-redonda-x5lbs-sportiva-7703721140842/p
NATURALE WORLD SOLUTIONS SAS,Ortopedia y movilidad,,https://colsubsidio.vtexassets.com/arquivos/ids/201459/7703721140392.jpg?v=638677091122470000,,69650,Bola Para Gimnasia x65cms Sportiva,UNIDAD,15024,"Unidad a $69.650,00",15046,10000,Línea deportiva,Soportes deportivos,,,https://www.drogueriascolsubsidio.com/bola-para-gimnasia-x65cms-sportiva-7703721140392/p
NATURALE WORLD SOLUTIONS SAS,Ortopedia y movilidad,,https://colsubsidio.vtexassets.com/arquivos/ids/201466/7703721146899-1.jpg?v=638677105224100000,,69650,Sportiva Cojin Aire Dinamico,UNIDAD,15030,"Unidad a $69.650,00",15052,10000,Línea deportiva,Soportes deportivos,,,https://www.drogueriascolsubsidio.com/sportiva-cojin-aire-dinamico-7703721146899/p
NATURALE WORLD SOLUTIONS SAS,Ortopedia y movilidad,,https://colsubsidio.vtexassets.com/arquivos/ids/201472/7703721148176.jpg?v=638677114363000000,,82900,Banda Elastica De Poder Azul 2080  x 4.5 x 32 mm  50-70 lbs,UNIDAD,14934,"Unidad a $82.900,00",14956,10000,Línea deportiva,Soportes deportivos,,,https://www.drogueriascolsubsidio.com/banda-elastica-de-poder-azul-2080--x-45-x-32-mm--50-70-lbs-7703721148176/p
