brand,category,id_invima,image_url,old_price,presentation,price,product_name,product_url,subcategory1,subcategory2
ISDIN COLOMBIA,Belleza y Vitalidad,NSOC14571-22CO,https://colsubsidio.vtexassets.com/arquivos/ids/193732/8470001507983-1.jpg?v=638336775678830000,,TUBO X 10 ML,39.6,isdin reparador labial con acido hialuronico,https://www.drogueriascolsubsidio.com/isdin-reparador-labial-con-acido-hialuronico-8470001507983/p,Cosméticos,Labios
ISDIN COLOMBIA,Belleza y Vitalidad,NSOC94742-19CO,https://colsubsidio.vtexassets.com/arquivos/ids/177244/8429420137974.jpg?v=637763017917770000,,BARRA X 4 G,34.8,Isdin Protector Labial Spf50+,https://www.drogueriascolsubsidio.com/isdin-protector-labial-spf50-8429420268302/p,Cosméticos,Labios
PERCOS,Belleza y Vitalidad,NSOC76757-17CO,https://colsubsidio.vtexassets.com/arquivos/ids/155918/309971879159.jpg?v=637108150123730000,,"TUBO X 2,6G",24,Rv Kiss Balm Juicy Peach Spf20 Ref 01,https://www.drogueriascolsubsidio.com/rv-kiss-balm-juicy-peach-spf20-ref-01-309971879159/p,Cosméticos,Labios
PFIZER,Belleza y Vitalidad,NSOC96157-19CO,https://colsubsidio.vtexassets.com/arquivos/ids/184129/7702132004606_2_1200x1200px.jpg?v=638018085163970000,,TUBO X 4 G,19.7,Chapstick Med Hidrata Protege y Repara Labios 1und,https://www.drogueriascolsubsidio.com/chapstick-med-hidrata-protege-y-repara-labios-1und-7702132004606/p,Cosméticos,Labios
BEIERSDORF,Belleza y Vitalidad,NSOC54063-13CO,https://colsubsidio.vtexassets.com/arquivos/ids/194080/4005808377534_1.jpg?v=638342936021970000,,"TUBO X 4,7 G",21.55,Nivea Lip Care Cherry,https://www.drogueriascolsubsidio.com/nivea-lip-care-cherry-4005808377534/p,Cosméticos,Labios
PFIZER,Belleza y Vitalidad,NSOC44000-99CO,https://colsubsidio.vtexassets.com/arquivos/ids/184086/36600813719_1200x1200px.jpg?v=638018084990430000,,"TUBO X 4,2 G",18.75,Chapstick Cereza Protege Los Labios De La Resequedad 1und,https://www.drogueriascolsubsidio.com/chapstick-cereza-36600813719/p,Cosméticos,Labios
PERCOS,Belleza y Vitalidad,NSOC76757-17CO,https://colsubsidio.vtexassets.com/arquivos/ids/155920/309971879258.jpg?v=639072188787430000,,TUBO X 3G,24,Rv Kiss Balm Sweet Cherry Spf20 Ref 02,https://www.drogueriascolsubsidio.com/rv-kiss-balm-sweet-cherry-spf20-ref-02-309971879258/p,Cosméticos,Labios
PERCOS,Belleza y Vitalidad,NSOC76757-17CO,https://colsubsidio.vtexassets.com/arquivos/ids/155917/309971879104.jpg?v=637108150119030000,,"TUBO X 2,6G",24,Rv Kiss Tropical Cocon Spf20 Ref 010 Pe,https://www.drogueriascolsubsidio.com/rv-kiss-tropical-cocon-spf20-ref-010-pe-309971879104/p,Cosméticos,Labios
PERCOS,Belleza y Vitalidad,NSOC76757-17CO,https://colsubsidio.vtexassets.com/arquivos/ids/155921/309971879357.jpg?v=637108150137200000,,TUBO X 3G,24,Rv Kiss Balm Berry Bur Spf20 Ref 035 Pe,https://www.drogueriascolsubsidio.com/rv-kiss-balm-berry-bur-spf20-ref-035-pe-309971879357/p,Cosméticos,Labios
PERCOS,Belleza y Vitalidad,NSOC76757-17CO,https://colsubsidio.vtexassets.com/arquivos/ids/155919/309971879203.jpg?v=637108150127970000,,TUBO X 3G,24,Rv Kiss Balm Fresh Strawber Spf20 Ref02,https://www.drogueriascolsubsidio.com/rv-kiss-balm-fresh-strawber-spf20-ref02-309971879203/p,Cosméticos,Labios
ISDIN COLOMBIA,Belleza y Vitalidad,NSOC94741-19CO,https://colsubsidio.vtexassets.com/arquivos/ids/177248/8429420135444.jpg?v=637763023145400000,,BARRA X 4 G,34.8,Isdin Protector Labial Color Amarillento Sfp30,https://www.drogueriascolsubsidio.com/isdin-protector-labial-color-amarillento-sfp30-8429420268296/p,Cosméticos,Labios
PFIZER,Belleza y Vitalidad,NSOC44001-99CO,https://colsubsidio.vtexassets.com/arquivos/ids/184090/36600814617_1200x1200px.jpg?v=638018085002530000,,"TUBO X 4,2 G",18.75,Chapstick Menta Protege Los Labios De La Resequedad 1und,https://www.drogueriascolsubsidio.com/36600814617pfizercuidado-facialmedicamentoschapstick-menta-36600814617/p,Cosméticos,Labios
NOVADERMA,Belleza y Vitalidad,NSOC459351-05CO,https://colsubsidio.vtexassets.com/arquivos/ids/164155/7707206270086.jpg?v=637238460180830000,,FRASCO X 8 G,53.5,Prona Gel Para Uñas,https://www.drogueriascolsubsidio.com/prona-gel-para-unas-7707206270086/p,Cosméticos,Uñas
HARTUNG Y COMPAÑÍA,Belleza y Vitalidad,NSOC37612-10CO,https://colsubsidio.vtexassets.com/arquivos/ids/206503/7702215130123.jpg?v=638853347880630000,,UNIDAD X 55ML,10.8,Removedor Con Vitamina E x 55 Ml,https://www.drogueriascolsubsidio.com/removedor-con-vitamina-e-x-55-ml-7702215130123/p,Cosméticos,Uñas
PHARMADERM,Belleza y Vitalidad,NSOC92528-19CO,https://colsubsidio.vtexassets.com/arquivos/ids/210866/7707222420496-50.jpg?v=639059040690930000,,FRASCO X 10 ML,142.9,Durexnail Laca Ungueal,https://www.drogueriascolsubsidio.com/durexnail-laca-ungueal-7707222420496/p,Cosméticos,Uñas
HARTUNG Y COMPAÑÍA,Belleza y Vitalidad,NSOC37613-10CO,https://colsubsidio.vtexassets.com/arquivos/ids/183560/7702215130307.jpg?v=638015297245200000,,UNIDAD X 35ML,6.4,Removedor Tradicional x 35 Ml,https://www.drogueriascolsubsidio.com/removedor-tradicional-x-35-ml-7702215130307/p,Cosméticos,Uñas
LOREAL,Belleza y Vitalidad,NSOC74777-16CO,https://colsubsidio.vtexassets.com/arquivos/ids/167415/7509552845068.jpg?v=637322480206570000,,UNIDAD X 14 ML,8.95,Esmalte Vogue Efecto Gel Autentica,https://www.drogueriascolsubsidio.com/esmalte-vogue-efecto-gel-autentica-7509552845068/p,Cosméticos,Uñas
LOREAL,Belleza y Vitalidad,NSOC85242-18CO,https://colsubsidio.vtexassets.com/arquivos/ids/167364/7509552830316.jpg?v=637322479738070000,,UNIDAD X 14 ML,9.95,Base Brillo Vogue Efecto Total 6,https://www.drogueriascolsubsidio.com/base-brillo-vogue-efecto-total-6-7509552830316/p,Cosméticos,Uñas
VOGUE,Belleza y Vitalidad,NSOC74776-16CO,https://colsubsidio.vtexassets.com/arquivos/ids/192099/7509552887563.jpg?v=638311075420800000,,UNIDAD X 14ML,8.95,V ESMALTE EFECTO GEL SUTILEZA 14ML,https://www.drogueriascolsubsidio.com/v-esmalte-efecto-gel-sutileza-14ml-7509552887563/p,Cosméticos,Uñas
VOGUE,Belleza y Vitalidad,NSOC74776-16CO,https://colsubsidio.vtexassets.com/arquivos/ids/192262/7702433330749.jpg?v=638311078322570000,,UNIDAD X 14ML,8.95,V ESMALTE EFECTO GEL SECRETO 14ML,https://www.drogueriascolsubsidio.com/v-esmalte-efecto-gel-secreto-14ml-7702433330749/p,Cosméticos,Uñas
HARTUNG Y COMPAÑÍA,Belleza y Vitalidad,NSOC37842-10CO,https://colsubsidio.vtexassets.com/arquivos/ids/183561/7702215130314.jpg?v=638015297253730000,,UNIDAD X 35ML,6.9,Removedor Endur Con Prot x 35 Ml,https://www.drogueriascolsubsidio.com/removedor-endur-con-prot-x-35-ml-7702215130314/p,Cosméticos,Uñas
LOREAL,Belleza y Vitalidad,NSOC74776-16CO,https://colsubsidio.vtexassets.com/arquivos/ids/167419/7509552845112.jpg?v=637322480237400000,,UNIDAD X 14 ML,8.95,Esmalte Vogue Efecto Gel Claridad,https://www.drogueriascolsubsidio.com/esmalte-vogue-efecto-gel-claridad-7509552845112/p,Cosméticos,Uñas
LOREAL,Belleza y Vitalidad,NSOC74777-16CO,https://colsubsidio.vtexassets.com/arquivos/ids/167418/7509552845105.jpg?v=637322480228300000,,UNIDAD X 14 ML,8.95,Esmalte Vogue Efecto Gel Suspicaz,https://www.drogueriascolsubsidio.com/esmalte-vogue-efecto-gel-suspicaz-7509552845105/p,Cosméticos,Uñas
